[00:12:01] [DEBUG] Bhavcopy 2026-04-17: HTTP 404
[00:12:02] [DEBUG] Bhavcopy 2026-04-10: HTTP 404
[00:12:02] [DEBUG] Bhavcopy 2026-03-20: HTTP 404
[00:15:30] [DEBUG] Bhavcopy 2025-04-17: CE ATM=23750 expiry=2025-04-17 close=Rs102.1 (real_spot~23750)
[00:15:31] [DEBUG] Bhavcopy 2025-03-20: CE ATM=23300 expiry=2025-03-20 close=Rs0.2 (real_spot~23300)
[00:15:32] [DEBUG] Bhavcopy 2025-03-20: PE ATM=23300 expiry=2025-03-20 close=Rs103.5 (real_spot~23300)
[00:15:33] [DEBUG] Bhavcopy 2025-01-15: CE ATM=23000 expiry=2025-01-16 close=Rs226.6 (real_spot~23000)
[00:16:21] [DEBUG] Bhavcopy 2026-01-28: CE ATM=23300 expiry=2026-02-03 00:00:00 close=Rs1802.0 (real_spot~22950)
[00:17:09] [DEBUG] Bhavcopy 2026-01-28: CE ATM=23300 expiry=2026-02-03 00:00:00 close=Rs1802.0 (real_spot~22950)
[00:17:10] [DEBUG] Bhavcopy 2026-01-29: CE ATM=23300 expiry=2026-02-03 00:00:00 close=Rs1802.0 (real_spot~23050)
[00:17:11] [DEBUG] Bhavcopy 2026-01-30: CE ATM=23300 expiry=2026-02-10 00:00:00 close=Rs2074.1 (real_spot~23050)
[00:17:12] [DEBUG] Bhavcopy 2026-02-01: CE ATM=23300 expiry=2026-02-10 00:00:00 close=Rs1471.0 (real_spot~23250)
[00:17:13] [DEBUG] Bhavcopy 2026-02-02: CE ATM=23100 expiry=2026-02-10 00:00:00 close=Rs1890.0 (real_spot~22000)
[00:17:14] [DEBUG] Bhavcopy 2026-02-03: CE ATM=23100 expiry=2026-02-10 00:00:00 close=Rs2649.6 (real_spot~22950)
[00:17:15] [DEBUG] Bhavcopy 2026-02-04: CE ATM=23150 expiry=2026-02-10 00:00:00 close=Rs2599.5 (real_spot~23150)
[00:17:16] [DEBUG] Bhavcopy 2026-02-05: CE ATM=23200 expiry=2026-02-10 00:00:00 close=Rs2556.7 (real_spot~23200)
[00:17:16] [DEBUG] Bhavcopy 2026-02-06: CE ATM=23200 expiry=2026-02-17 00:00:00 close=Rs2466.8 (real_spot~23200)
[00:17:17] [DEBUG] Bhavcopy 2026-02-09: CE ATM=24550 expiry=2026-02-17 00:00:00 close=Rs1343.2 (real_spot~24550)
[00:17:18] [DEBUG] Bhavcopy 2026-02-10: CE ATM=24850 expiry=2026-02-17 00:00:00 close=Rs1100.0 (real_spot~24850)
[00:17:19] [DEBUG] Bhavcopy 2026-02-11: CE ATM=24900 expiry=2026-02-17 00:00:00 close=Rs1077.3 (real_spot~24900)
[00:17:20] [DEBUG] Bhavcopy 2026-02-12: CE ATM=25700 expiry=2026-02-17 00:00:00 close=Rs193.4 (real_spot~25700)
[00:17:21] [DEBUG] Bhavcopy 2026-02-13: CE ATM=25900 expiry=2026-02-24 00:00:00 close=Rs66.2 (real_spot~25900)
[00:17:22] [DEBUG] Bhavcopy 2026-02-16: CE ATM=25850 expiry=2026-02-24 00:00:00 close=Rs116.0 (real_spot~25850)
[00:17:23] [DEBUG] Bhavcopy 2026-02-17: CE ATM=26150 expiry=2026-02-24 00:00:00 close=Rs26.1 (real_spot~26150)
[00:17:24] [DEBUG] Bhavcopy 2026-02-18: CE ATM=26400 expiry=2026-02-24 00:00:00 close=Rs8.6 (real_spot~26400)
[00:17:25] [DEBUG] Bhavcopy 2026-02-19: CE ATM=26500 expiry=2026-02-24 00:00:00 close=Rs6.5 (real_spot~26500)
[00:17:26] [DEBUG] Bhavcopy 2026-02-20: CE ATM=26200 expiry=2026-03-02 00:00:00 close=Rs31.7 (real_spot~26200)
[00:17:27] [DEBUG] Bhavcopy 2026-02-23: CE ATM=26450 expiry=2026-03-02 00:00:00 close=Rs12.4 (real_spot~26450)
[00:17:28] [DEBUG] Bhavcopy 2026-02-24: CE ATM=26650 expiry=2026-03-10 00:00:00 close=Rs10.8 (real_spot~26650)
[00:17:29] [DEBUG] Bhavcopy 2026-02-25: CE ATM=26500 expiry=2026-03-10 00:00:00 close=Rs12.3 (real_spot~26500)
[00:17:30] [DEBUG] Bhavcopy 2026-02-26: CE ATM=26100 expiry=2026-03-02 00:00:00 close=Rs6.2 (real_spot~26100)
[00:17:31] [DEBUG] Bhavcopy 2026-02-27: CE ATM=26200 expiry=2026-03-10 00:00:00 close=Rs11.8 (real_spot~26200)
[00:17:32] [DEBUG] Bhavcopy 2026-03-02: CE ATM=25900 expiry=2026-03-10 00:00:00 close=Rs12.2 (real_spot~25900)
[00:17:33] [DEBUG] Bhavcopy 2026-03-04: CE ATM=25450 expiry=2026-03-10 00:00:00 close=Rs26.4 (real_spot~25450)
[00:17:34] [DEBUG] Bhavcopy 2026-03-05: CE ATM=25550 expiry=2026-03-10 00:00:00 close=Rs12.9 (real_spot~25550)
[00:17:35] [DEBUG] Bhavcopy 2026-03-06: CE ATM=25300 expiry=2026-03-17 00:00:00 close=Rs66.2 (real_spot~25300)
[00:17:36] [DEBUG] Bhavcopy 2026-03-09: CE ATM=23650 expiry=2026-03-17 00:00:00 close=Rs698.8 (real_spot~23650)
[00:17:38] [DEBUG] Bhavcopy 2026-03-10: CE ATM=24050 expiry=2026-03-17 00:00:00 close=Rs449.9 (real_spot~24050)
[00:17:39] [DEBUG] Bhavcopy 2026-03-11: CE ATM=24100 expiry=2026-03-17 00:00:00 close=Rs194.3 (real_spot~24100)
[00:17:41] [DEBUG] Bhavcopy 2026-03-12: CE ATM=23200 expiry=2026-03-17 00:00:00 close=Rs576.6 (real_spot~23200)
