EXPIRY_DT,STRIKE_PR,CLOSE
2025-04-24,24150.0,962.15
2025-04-24,24550.0,1197.8
2025-04-24,24700.0,1351.65
2025-03-27,20550.0,1.4
2025-03-27,20650.0,1.6
2025-03-27,22550.0,12.65
2025-03-27,23450.0,295.2
2025-03-27,24800.0,1598.2
2025-03-27,25000.0,1802.95
2025-03-27,25700.0,2474.5
2025-03-27,30000.0,6771.9
2025-04-03,21550.0,6.65
2025-12-24,23000.0,576.75
2025-09-25,28000.0,4400.0
2025-09-25,26000.0,812.55
2025-09-25,19000.0,59.25
2025-05-29,24300.0,937.55
2025-05-29,24250.0,911.75
2025-05-29,23850.0,647.75
2025-05-29,23200.0,369.15
2025-05-29,22500.0,184.7
2025-05-29,21750.0,114.7
2025-05-29,21450.0,98.55
2025-04-03,22000.0,11.6
2025-05-29,21100.0,47.9
2025-05-29,20700.0,75.95
2025-05-29,20450.0,53.9
2025-04-24,24950.0,1587.6
2025-04-24,23750.0,560.0
2025-04-24,23050.0,225.9
2025-04-24,22350.0,83.85
2025-04-24,22300.0,79.0
2025-04-24,21050.0,24.95
2025-04-24,20750.0,12.35
2025-04-24,20550.0,12.25
2025-04-24,20500.0,12.05
2025-04-17,24550.0,2013.0
2025-04-17,23150.0,234.25
2025-04-17,23050.0,724.2
2025-04-17,22750.0,196.0
2025-04-17,21000.0,11.5
2025-04-17,20900.0,9.45
2025-04-09,24300.0,1634.55
2025-04-09,23500.0,370.15
2025-04-09,23200.0,222.4
2025-04-09,22950.0,142.1
2025-04-09,22500.0,57.8
2025-04-09,21900.0,19.45
2025-04-09,21750.0,113.05
2025-04-09,21500.0,10.95
2025-04-09,21250.0,23.45
2025-04-09,21200.0,7.6
2025-04-09,21000.0,8.15
2025-04-09,20900.0,13.9
2025-04-09,20650.0,5.0
2025-04-03,24450.0,1180.4
2025-04-03,24200.0,956.0
2025-04-03,23500.0,339.85
2025-04-03,22950.0,93.1
2025-04-03,21900.0,9.7
2025-04-03,21850.0,8.8
2025-04-03,21150.0,4.4
2025-04-03,21050.0,3.1
2025-04-03,20950.0,2.35
2025-03-27,24600.0,1390.9
2025-03-27,24200.0,1006.8
2029-12-27,22000.0,373.65
2028-12-28,17000.0,66.15
2027-12-30,25000.0,1546.4
2027-12-30,20000.0,400.0
2027-06-24,19000.0,201.05
2026-12-31,21000.0,420.0
2026-06-25,25000.0,1800.0
2026-06-25,22000.0,450.0
2026-06-25,19000.0,160.05
2025-03-27,24150.0,926.6
2025-03-27,23850.0,659.85
2025-03-27,23100.0,94.4
2025-03-27,22200.0,5.5
2025-03-27,22000.0,4.05
2025-03-27,21900.0,3.45
2025-03-27,21800.0,3.0
2025-03-27,21400.0,2.2
2025-03-27,20950.0,1.75
2025-03-27,20800.0,1.7
2025-03-27,18000.0,0.4
2025-03-20,24300.0,1107.65
2025-03-20,24200.0,1020.25
2025-03-20,24000.0,805.3
2025-03-20,23500.0,303.75
2025-03-20,23150.0,0.4
2025-03-20,22850.0,0.15
2025-03-20,21100.0,0.1
2025-03-20,20600.0,0.1
2025-03-20,20400.0,0.1
2025-03-20,20350.0,0.1
2025-04-17,20950.0,25.75
2025-04-09,24650.0,1961.9
2025-04-09,23550.0,387.65
2025-04-09,22400.0,47.1
2025-04-09,21550.0,78.75
2025-04-09,21400.0,18.35
2025-04-03,24050.0,786.95
2025-04-03,23850.0,626.45
2025-04-03,23450.0,308.35
2025-04-03,23250.0,197.5
2025-04-03,23100.0,135.65
2025-04-03,22150.0,15.3
2025-03-20,20700.0,0.1
2025-03-20,21850.0,0.1
2025-03-20,23250.0,53.15
2025-03-20,23850.0,644.45
2025-03-20,24550.0,1498.05
2025-03-27,19000.0,0.7
2025-03-27,20750.0,1.6
2025-03-27,21200.0,2.1
2025-03-27,21350.0,2.1
2025-03-27,21450.0,2.25
2025-03-27,21500.0,2.4
2025-03-27,22100.0,4.45
2025-03-27,22500.0,11.25
2025-03-27,22750.0,23.55
2025-03-27,22800.0,28.05
2025-03-27,23950.0,755.1
2025-03-27,24400.0,1198.35
2025-03-27,24700.0,1496.8
2025-03-27,24950.0,1840.45
2025-04-03,20350.0,2.3
2025-04-03,20500.0,2.5
2025-04-03,21100.0,3.45
2025-04-03,21250.0,4.85
2025-04-03,21350.0,4.85
2025-04-03,21600.0,6.3
2025-04-03,21750.0,7.3
2025-04-03,22100.0,13.85
2025-04-03,23000.0,105.7
2025-04-03,23600.0,415.9
2025-04-03,23750.0,521.5
2025-04-09,22350.0,47.65
2025-04-09,22800.0,104.25
2025-04-09,23250.0,245.65
2025-04-09,23400.0,318.45
2025-04-09,23850.0,1236.55
2025-04-09,24000.0,1365.6
2025-04-09,24600.0,1914.45
2025-04-17,20650.0,6.55
2025-04-17,21400.0,16.65
